Sun Jan 23 17:07:00 2022    output.dat

         1523460 function calls (1440650 primitive calls) in 2.255 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1658    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
       43    0.001    0.000    0.009    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/variable.py:302(__getitem__)
      934    0.001    0.000    0.002    0.000 /usr/lib/python3/dist-packages/numpy/core/shape_base.py:24(atleast_1d)
     3178    0.001    0.000    0.010    0.000 {method 'min' of 'numpy.ndarray' objects}
      171    0.001    0.000    0.063    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/power_combination.py:37(array_setup)
    16858    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:270(_abs_iter)
     1363    0.001    0.000    0.001    0.000 {built-in method numpy.zeros}
      800    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:56(_get_partials_varlists)
     3264    0.001    0.000    0.004    0.000 /usr/lib/python3.8/contextlib.py:238(helper)
     4779    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/sputils.py:278(<genexpr>)
     3684    0.001    0.000    0.007    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_vector.py:83(_initialize_data)
     1392    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:30(_valid_var_name)
     3178    0.001    0.000    0.009    0.000 {method 'max' of 'numpy.ndarray' objects}
     3188    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:107(getnnz)
     4026    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
    54/27    0.001    0.000    0.003    0.000 /usr/lib/python3.8/sre_parse.py:493(_parse)
        2    0.001    0.001    0.022    0.011 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:880(_resolve_src_indices)
     1230    0.001    0.000    0.005    0.000 /usr/lib/python3/dist-packages/numpy/core/numeric.py:290(full)
      982    0.001    0.000    0.010    0.000 /usr/lib/python3/dist-packages/numpy/core/fromnumeric.py:2792(prod)
        2    0.001    0.001    0.005    0.003 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:4940(get_relevant_vars)
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.TextIOWrapper' objects}
      608    0.001    0.000    0.004    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1833(_get_promotion_maps)
     1592    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:66(__init__)
     2366    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2138(_call_user_function)
     26/1    0.001    0.000    0.230    0.230 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:507(_setup_procs)
     2671    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:337(_abs_get_val)
1837/1789    0.001    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/general_utils.py:749(<listcomp>)
     7191    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/node.py:310(get_num_dependents)
      611    0.001    0.000    0.023    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/explicitcomponent.py:160(add_output)
     1653    0.001    0.000    0.002    0.000 <__array_function__ internals>:2(empty_like)
      795    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.csr_has_canonical_format}
     3186    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     1288    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/recorders/recording_iteration_stack.py:149(__enter__)
     3977    0.001    0.000    0.001    0.000 /usr/lib/python3/dist-packages/numpy/core/getlimits.py:521(max)
     1911    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
     6369    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:80(get_shape)
     1590    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/base.py:673(__getattr__)
     2119    0.001    0.000    0.009    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/vector.py:364(__setitem__)
     1232    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:3969(record_iteration)
        1    0.001    0.001    0.003    0.003 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/group.py:3178(compute_sys_graph)
     1592    0.001    0.000    0.001    0.000 {method 'newbyteorder' of 'numpy.dtype' objects}
       88    0.001    0.000    0.028    0.000 /home/jyan_linux/Downloads/Software/csdl_om/csdl_om/comps/array_expansion_comp.py:17(setup)
     3178    0.001    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:32(_amin)
     1642    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(amax)
     3178    0.001    0.000    0.008    0.000 /usr/lib/python3/dist-packages/numpy/core/_methods.py:28(_amax)
     2502    0.001    0.000    0.003    0.000 <__array_function__ internals>:2(concatenate)
     1275    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:522(msginfo)
      795    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/ParaView-5.9.0/lib/python3.8/site-packages/scipy/sparse/compressed.py:1076(__set_has_canonical_format)
      102    0.001    0.000    0.005    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/std/expand.py:7(expand)
      427    0.001    0.000    0.001    0.000 {method 'flatten' of 'numpy.ndarray' objects}
        2    0.001    0.000    0.001    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1505(_setup_global_shapes)
     1216    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:1949(<dictcomp>)
     2276    0.001    0.000    0.003    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/vectors/default_transfer.py:17(_merge)
      890    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/system.py:2078(_matvec_context)
      587    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/jacobians/jacobian.py:52(__init__)
      784    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/csdl/csdl/core/variable.py:381(add_dependency_node)
      609    0.001    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/core/component.py:105(_declare_options)
     1445    0.001    0.000    0.001    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/utils/options_dictionary.py:52(__init__)
    604/1    0.001    0.000    0.001    0.001 /home/jyan_linux/.local/lib/python3.8/site-packages/openmdao/visualization/n2_viewer/n2_viewer.py:321(recurse_get_partials)
